time,true_x,true_y,true_v,true_yaw,noisy_x,noisy_y,noisy_v,ekf_x,ekf_y,ekf_v,ekf_yaw,steering,acceleration,mpc_solve_time,cross_track_error
0.0,0.0,1.8,0.0,-0.0035998644512773128,0.4514088608880844,1.8576769136924376,-0.22305172007199175,0.019713923161268052,1.8027529337386061,-0.03914269463166674,-0.003599864451277135,-0.0003008670036606709,1.9999999999981593,0.2990113879999967,0.0
0.1,0.0,1.8,0.19999999999981594,-0.003599864451277135,0.49241861567322964,1.7381367375097518,0.08032257974974669,0.040786482421474125,1.7992494860848136,0.14598862765641407,-0.0035970325196621467,0.0001374340796700012,1.9999999999993863,0.256306660000007,0.0
0.2,0.01999987040988087,1.7999280028664768,0.39999999999975455,-0.0035987649786326514,0.15959672568523453,2.2881638644544404,0.23425801707432434,0.0586631001919022,1.8288275951354478,0.3189229602991304,-0.0035146572252746644,-0.0011890748203383342,1.9999999999998435,0.29415627700001323,0.08000064795472048
0.30000000000000004,0.059999611387948446,1.7997840525780513,0.599999999999739,-0.003617790184724523,-0.38442418688711893,1.5900678679789058,0.3813155455168133,0.05208913228947154,1.8130021326795243,0.4759619591170773,-0.0037051935569549777,-0.0022141663065043497,1.9999999999999958,0.2929111160000275,0.04000064795479338
0.4,0.11999921873617599,1.7995669856404786,0.7999999999997386,-0.0036709302629209795,-0.5341348823284562,1.1255585618328645,0.9384658375432484,0.06252281089538936,1.7642102319129218,0.7378876037484569,-0.004967168773321706,-9.935529223663985e-05,1.9723978472761239,0.3266897019999533,0.019999352062168765
0.5,0.19999867970759536,1.799273311879024,0.997239784727351,-0.0036741096322829847,-0.7554274667380798,1.4975092215467758,0.78660876418247,0.05636562879865742,1.7439135363554028,0.8791047270103455,-0.005944847133564135,0.0012348593998106746,1.7224610052855678,0.28733928999997715,0.09999935205910511
0.6000000000000001,0.2997219850900267,1.798906915873484,1.1694858852559078,-0.0036248515703638517,1.0131144501397387,1.9767723048891788,1.1932096551782085,0.22644814083607046,1.761796981077415,1.1061189763207149,-0.004453027428861667,-0.00016532559682795592,1.184745419687334,0.25543191899998874,0.09972258785123381
0.7000000000000001,0.4166698052906095,1.7984829955270702,1.2879604272246412,-0.003632585408512856,0.6277457948795244,1.1185774800269,1.0588993252107146,0.35509282388839586,1.7077480770499047,1.18361100605272,-0.010577229672210198,0.02592335950484593,1.1495107067945258,0.21799722500003327,0.017200562941338624
0.8,0.5454649982385349,1.7980151339305623,1.4029114979040938,-0.0022967557127770988,0.31170663628878326,2.160927851852019,1.5098103841382178,0.46900371533521334,1.7463238364691283,1.3546469223953668,-0.0032262141801218114,-6.865541794617136e-05,0.806382966536428,0.30605970999999954,0.04600188075684155
0.9,0.6857557780051105,1.797692919714114,1.4835497945577365,-0.0023006084117924708,0.7063535098242386,2.0305359403842544,1.3218830961317165,0.608496978820726,1.7723368710435428,1.4053849639765883,0.0019237913636112047,-0.09542417480493137,0.6518353253890922,0.32097010199998977,0.08641300372004966
1.0,0.8341103648545091,1.7973516133015246,1.5487333270966457,-0.007980519477416959,0.7997415528127624,1.922019991410726,1.3423185055933118,0.7474637723988823,1.7873032936191615,1.4355764280354981,7.230122528367744e-05,-0.2570416427039109,0.5439576786623206,0.26358167999995885,0.13494249125948587
1.1,0.9889787657504232,1.7961156567728092,1.6031290949628778,-0.024264292625734374,1.3668837546289527,1.4656760492602237,1.3905298480752073,0.9338219021384184,1.753882262042328,1.470916508610219,-0.02387029044881972,-0.06818695053109351,0.4895035581935938,0.22577992800000857,0.09247761921146895
1.2000000000000002,1.1492444849766892,1.792226159112106,1.6520794507822372,-0.028643581211514668,1.391766154201733,1.7094258786147862,1.5007840487879116,1.1116417373338345,1.7458923084747477,1.5202586404058793,-0.029218207218276948,-0.14421937021807282,0.4362060851257038,0.31840028500005246,0.060771250100357596
1.3,1.314384661867303,1.7874946589793617,1.6957000592948075,-0.03824068542303616,0.3599424175547149,2.137058727466365,1.6732105018630261,1.1758813769329521,1.7871951693156822,1.577738072833546,-0.023419238002369447,-0.43628327067523337,0.41281790916701205,0.3293470730000081,0.12087841019009668
1.4000000000000001,1.4838306975542934,1.7810117660381442,1.7369818502115086,-0.06986535270499328,0.9765469432093403,2.0584356106289383,1.590361056298995,1.2949812790251147,1.8172125732485598,1.6043022640467286,-0.040899399600633934,-0.4363323129985824,0.3515619258087408,0.23448090400000865,0.1884589857430883
1.5,1.6571051300162754,1.7688861512240395,1.7721380427923827,-0.10226407025818807,2.387289396603177,1.5517481495892107,1.6864030224366426,1.5554223023580127,1.7773949249559913,1.6698386337044693,-0.08356727946066433,-0.43632599744964606,0.1263768369367271,0.2911583549999932,0.16465292794086064
1.6,1.8333930959091351,1.7507951172989678,1.7847757264860555,-0.13531798686026741,2.3526530957045253,1.6758687120590259,1.4597433420441137,1.777111829726387,1.7528074974281433,1.6316412210815194,-0.11704921466646345,-0.34608608744792213,0.31932158718795384,0.2216326480000248,0.07412827890329118
1.7000000000000002,2.0102391128212824,1.726717529362324,1.8167078852048508,-0.1610615473255943,2.0787187254746553,2.126205903361965,1.6660935500374412,1.954546122305463,1.7892383369377192,1.6660585948429762,-0.1190564401858425,-0.4363323129985127,0.17695775036309488,0.27699175300000434,0.12325180350490993
1.8,2.1895586459364007,1.6975836925907837,1.8344036602411604,-0.194947339305652,2.1271709860666714,1.156242758893487,1.7327159618476013,2.122112040516681,1.67952171565607,1.6989972153704564,-0.18586705339296072,-0.008683482202638334,0.10476492405199235,0.22658904500002564,0.10459111062616565
